Title,Abstract,Subfield,Link,IS_Relevant
Blockchain Technology as a Decentralized Solution for Data Security and Privacy: Applications Beyond Cryptocurrencies in Supply Chain Management and Healthcare,"Decentralized and promising, blockchain technology brings enhanced security for data along with privacy issues particularly in health and supply chains. Here, we aim to show the usage of blockchain towards the secure data of devices that come under Internet of Medical Things or IoMT by providing data integrity and further sensitive medical information protection. A secure, transparent, and tamper-proof system in health care management can be supported by an IoT framework that uses blockchain. Four data security and privacy algorithms based on blockchain have been considered and tested with excellent results to show a clear indication of how much prevention in un-authorized access can be done in ensuring authenticity, tracking products in the medical supply chain. Some experiments were demonstrated where the blockchain-enabled system had reduced the data breach by 95% from traditional systems. Supply chain traceability had improved by 92%. The combination of machine learning and blockchain increased real-time threat detection by 88%. The outcome shows that blockchain can deal with problems like tampering, privacy violation, and counterfeiting in medical products. However, scalability of applications and adoption by regulators are two major challenges towards full integration. This paper aids in the development of a complete holistic framework that may make use of the usage of blockchain to secure health care and other supply chain systems to allow further avenues for digitizing data safety.",BSP,https://www.semanticscholar.org/paper/d4707ae72660ef84f6f557cf550414a34ccd5e91,True
Ballots and Padlocks: Building Digital Trust and Security in Democracy through Information Governance Strategies and Blockchain Technologies,"This research explores the integration of Information Governance (IG) strategies and Blockchain Technologies (BT) in enhancing digital trust and security within democratic processes. Amid concerns about the integrity and vulnerability of electoral systems in the digital era, this study examines how these technologies can collectively safeguard democracy. Utilizing Partial Least Squares Structural Equation Modeling (PLS-SEM), bootstrapping analysis for mediation effects, and the Fornell-Larcker Criterion for discriminant validity, the analysis was conducted on data from 934 participants involved in the electoral process. Key findings demonstrate that IG strategies significantly impact digital trust, indicating the importance of robust data management, legal compliance, and privacy measures for public confidence in electoral systems. Blockchain Technologies positively affect the security of democratic processes due to their decentralized and immutable characteristics. Furthermore, digital trust is identified as a critical mediator between IG strategies, BT, and the security of democratic processes, highlighting the importance of trust in the effectiveness of these technologies. Based on the insights gained, three actionable recommendations are proposed: Electoral authorities should adopt comprehensive IG frameworks to enhance data integrity and transparency; Pilot blockchain projects should be expanded to refine and understand the broader implementation implications for election security; Efforts should be increased to foster digital literacy and trust among the electorate, emphasizing the role of these technologies in securing electoral integrity.",BSP,https://www.semanticscholar.org/paper/fc83c2d982d160db90ed83913155e0338cd47318,True
Blockchain-Based Distributed Information Hiding Framework for Data Privacy Preserving in Medical Supply Chain Systems,"Medical supply chain communication networks engender critical information and data. Notably in the COVID era, inner personal and private information is being shared between healthcare providers regarding the medical supply chain. In recent years, multiple cyber-attacks have targeted medical supply chain communication networks due to their lack of security measures. In the era where cyber-attacks are cheaper and easier due to the computational power and various algorithms available for malicious uses, security, and data privacy requires intensive and higher measures. On the other hand, Information Hiding Techniques (IHT) compromise various advanced methods to hide sensitive information from being disclosed to malicious nodes. Moreover, with the support of Blockchain, IHT can bring higher security and the required privacy levels. In this paper, we propose the implementation of Blockchain and smart contract with the information hiding technique to enhance the security and privacy of data communication in critical systems, such as smart healthcare supply chain communication networks. Results show the feasibility of the framework using Hyperledger smart contract along with the desired security level.",BSP,https://www.semanticscholar.org/paper/bc2cb0e2a73304792ee804de7bef1b66d7e1c43d,True
Intelligent transportation systems trusted user’s security and privacy,"Standard encryption cannot be utilized in practical communications due to time and storage limits. Dedicated lane keeping (DRL) is a technique that helps self-driving cars navigate congested roads by keeping them in a specific lane (CAVs). Researchers have developed separate networks for distinct types of mixed traffic to cut down on the time and effort typically spent on instruction and coordination. A deep reinforcement learning technique boosts the efficiency of each part and the entire fleet. There is a common misconception that the blockchain is a secure database for private information. A distributed database system in which nodes are directly connected to consensus mechanisms. To ensure data integrity, block blocks on a blockchain network use cryptography and other computer safeguards (such as smart contracts and time stamps). Because of its decentralized design, data storage facilitates collaboration. Digitally signed data records can also be checked to ensure they are accurate. Using hashes to connect individual blocks protects data against tampering by hackers. There is no need for a centralized authority or third party to verify the ledger’s accuracy because everyone can access it anytime. The blockchain allows for a transparent, trustworthy, and auditable system sharing information between entities. Like many other industries, transportation may benefit from the broader implementation of blockchain technology. Based on our findings, a state-run blockchain tailored to the transportation industry was developed and made available to the public. Because of blockchain technology, the car-sharing business model may need to be revised. Blockchain technology utilizes a distributed ledger to record transactions in a way that makes it impossible to alter the underlying data while still allowing for fast access for verification and auditing.",BSP,https://www.semanticscholar.org/paper/8f58c39fe4a8f540e0d51ef7d4f1c47ca3a5ec77,True
Securing Secrets in Cyber-Physical Systems: A Cutting-Edge Privacy Approach with Consortium Blockchain,"In the era of interconnected and intelligent cyber-physical systems, preserving privacy has become a paramount concern. This paper aims a groundbreaking proof-of-concept (PoC) design that leverages consortium blockchain technology to address privacy challenges in cyber-physical systems (CPSs). The proposed design introduces a novel approach to safeguarding sensitive information and ensuring data integrity while maintaining a high level of trust among stakeholders. By harnessing the power of consortium blockchain, the design establishes a decentralized and tamper-resistant framework for privacy preservation. However, ensuring the security and privacy of sensitive information within CPSs poses significant challenges. This paper proposes a cutting-edge privacy approach that leverages consortium blockchain technology to secure secrets in CPSs. Consortium blockchain, with its permissioned nature, provides a trusted framework for governing the network and validating transactions. By employing consortium blockchain, secrets in CPSs can be securely stored, shared, and accessed by authorized entities only, mitigating the risks of unauthorized access and data breaches. The proposed approach offers enhanced security, privacy preservation, increased trust and accountability, as well as interoperability and scalability. This paper aims to address the limitations of traditional security mechanisms in CPSs and harness the potential of consortium blockchain to revolutionize the management of secrets, contributing to the advancement of CPS security and privacy. The effectiveness of the design is demonstrated through extensive simulations and performance evaluations. The results indicate that the proposed approach offers significant advancements in privacy protection, paving the way for secure and trustworthy cyber-physical systems in various domains.",BSP,https://www.semanticscholar.org/paper/fc59fa5c67639c63a175fc838dffbdc46af23828,True
Securing Construction Workers’ Data Security and Privacy with Blockchain Technology,"The construction industry, characterized by its intricate network of stakeholders and diverse workforce, grapples with the challenge of managing information effectively. This study delves into this issue, recognizing the universal importance of safeguarding data, particularly amid rising concerns around unauthorized access and breaches. Aiming to harness the potential of blockchain technology to address these challenges, this study used hypothetical biographical and safety data of construction workers securely stored on a Hyperledger Fabric blockchain. Developed within the Amazon Web Services (AWS) cloud platform, this blockchain infrastructure emerged as a robust solution for enhancing data security and privacy. Anchored in the core principles of data security, the model emerges as a potent defender against the vulnerabilities of traditional data management systems. Beyond its immediate implications, this study exemplifies the marriage of blockchain technology and the construction sector, and its potential for reshaping workforce management, especially in high-risk projects and optimizing risk assessment, resource allocation, and safety measures to mitigate work-related injuries. Practical validation through transaction testing using Hyperledger Explorer validates the model’s feasibility and operational effectiveness, thus serving as a blueprint for the industry’s data management. Ultimately, this research not only showcases the promise of blockchain technology in addressing construction data security challenges but also underscores its practical applicability through comprehensive testing, thus heralding a new era of data management that harmonizes security and efficiency for stakeholders’ benefit.",BSP,https://www.semanticscholar.org/paper/788edefa0a827300e1fd0e1fe6a6f20f535dc152,True
Privacy Preserving Blockchain with Energy Aware Clustering Scheme for IoT Healthcare Systems,"Due to advancements in information technology, the healthcare sector becomes beneficial and provides distinct methods of managing medical data and enhancing the quality of medical services. The advanced e-healthcare applications are mainly based on the Internet of Things (IoT) and cloud computing platforms. In IoT enabled healthcare sector, the IoT devices usually record the patient data and transfer it to the cloud for further processing. Energy efficiency and security are treated as critical problems in designing IoT networks in the healthcare environment. As IoT devices are limited to energy, designing an effective technique to reduce energy utilization is needed. At the same time, secure transmission of medical data also poses a major challenging design issue. This paper presents a novel artificial intelligence with a blockchain scheme for IoT healthcare systems named AIBS-IoTHS. The AIBS-IoTH model aims to achieve secure and energy-efficient data transmission in IoT networks. The IoT devices are primarily used to collect patients’ medical data. The AIBS- IoTH model involves a metaheuristic-based modified sunflower optimization-based clustering (MSFOC) technique to achieve energy efficiency. Then, the blockchain empowered secure medical data transmission process is carried out for both inter-cluster and intra-cluster communication. At last, the Classification Enhancement Generative Adversarial Networks (CEGAN) model performs the diagnostic process on the secured medical data to determine the existence of the diseases. The design of MSFOC and CEGAN techniques shows the novelty of the work. An extensive experimental analysis of the benchmark dataset pointed out the superior performance of the proposed AIBS-IoTH model over the other compared methods.",BSP,https://www.semanticscholar.org/paper/c3dcaf2b256e0b8d4cdb778f03021457c401211e,True
Simulation of the Lightweight Blockchain Technique Based on Privacy and Security for Healthcare Data for the Cloud System,"Information about healthcare is derived from healthcare data. Healthcare data sharing helps make healthcare systems more efficient as well as improving healthcare quality. Patients should own and control healthcare information, one of their most valuable assets, instead of letting data be spread out among health care providers differ. This protects data from being shared between healthcare systems and privacy. Public ledger accompanied by a decentralized network of peer's compromises patient has been demonstrated to be able to achieve trusted, auditable computing by blockchain. The use of access control and cryptographic primitives are insufficient in addressing modern cyber threats all privacy and security concerns associated with a cloud-based environment. In this paper, the authors proposed a lightweight blockchain technique based on privacy and security for healthcare data for the cloud system. The cost-effectiveness of our system's smart contracts is evaluated, as well as the procedures used for data processing in order to encrypt and pseudonymize patient data.",BSP,https://www.semanticscholar.org/paper/0a0d6da80450fa114a9429eb7d2d5567890ec6e0,True
Privacy Preservation in Patient Information Exchange Systems Based on Blockchain: System Design Study,"Background With the increasing sophistication of the medical industry, various advanced medical services such as medical artificial intelligence, telemedicine, and personalized health care services have emerged. The demand for medical data is also rapidly increasing today because advanced medical services use medical data such as user data and electronic medical records (EMRs) to provide services. As a result, health care institutions and medical practitioners are researching various mechanisms and tools to feed medical data into their systems seamlessly. However, medical data contain sensitive personal information of patients. Therefore, ensuring security while meeting the demand for medical data is a very important problem in the information age for which a solution is required. Objective Our goal is to design a blockchain-based decentralized patient information exchange (PIE) system that can safely and efficiently share EMRs. The proposed system preserves patients’ privacy in the EMRs through a medical information exchange process that includes data encryption and access control. Methods We propose a blockchain-based EMR-sharing system that allows patients to manage their EMRs scattered across multiple hospitals and share them with other users. Our PIE system protects the patient’s EMR from security threats such as counterfeiting and privacy attacks during data sharing. In addition, it provides scalability by using distributed data-sharing methods to quickly share an EMR, regardless of its size or type. We implemented simulation models using Hyperledger Fabric, an open source blockchain framework. Results We performed a simulation of the EMR-sharing process and compared it with previous works on blockchain-based medical systems to check the proposed system’s performance. During the simulation, we found that it takes an average of 0.01014 (SD 0.0028) seconds to download 1 MB of EMR in our proposed PIE system. Moreover, it has been confirmed that data can be freely shared with other users regardless of the size or format of the data to be transmitted through the distributed data-sharing technique using the InterPlanetary File System. We conducted a security analysis to check whether the proposed security mechanism can effectively protect users of the EMR-sharing system from security threats such as data forgery or unauthorized access, and we found that the distributed ledger structure and re-encryption–based data encryption method can effectively protect users’ EMRs from forgery and privacy leak threats and provide data integrity. Conclusions Blockchain is a distributed ledger technology that provides data integrity to enable patient-centered health information exchange and access control. PIE systems integrate and manage fragmented patient EMRs through blockchain and protect users from security threats during the data exchange process among users. To increase safety and efficiency in the EMR-sharing process, we used access control using security levels, data encryption based on re-encryption, and a distributed data-sharing scheme.",BSP,https://www.semanticscholar.org/paper/0d19a4bf71b9b61a54dedacba5ab97e4e750d763,True
Consortium Blockchain for Security and Privacy-Preserving in E-government Systems,"Since its inception as a solution for secure cryptocurrencies sharing in 2008, the blockchain technology has now become one of the core technologies for secure data sharing and storage over trustless and decentralised peer-to-peer systems. E-government is amongst the systems that stores sensitive information about citizens, businesses and other affiliates, and therefore becomes the target of cyber attackers. The existing e-government systems are centralised and thus subject to single point of failure. This paper proposes a secure and decentralised e-government system based on the consortium blockchain technology, which is a semi-public and decentralised blockchain system consisting of a group of pre-selected entities or organisations in charge of consensus and decisions making for the benefit of the whole network of peers. In addition, a number of e-government nodes are pre-selected to perform the tasks of user and transaction validation before being added to the blockchain network. Accordingly, e-government users of the consortium blockchain network are given the rights to create, submit, access, and review transactions. Performance evaluation on single transaction time and transactions processed per second demonstrate the practicability of the proposed consortium blockchain-based e-government system for secure information sharing amongst all stakeholders.",BSP,https://www.semanticscholar.org/paper/e717a22537d156dd08107204e8230ecfbfa64c57,True
"Blockchain, Enterprise Resource Planning (ERP) and Accounting Information Systems (AIS): Research on e-Procurement and System Integration","Accounting information systems (AISs), the core module of any enterprise resource planning (ERP) system, are usually designed as centralised systems. Nowadays, the continuous development and applications of blockchain, or more broadly—distributed ledger technology (DLT), can change the architecture, overcome and improve some limitations of centralised systems, most notably security and privacy. An increasing number of authors are suggesting the application of blockchain technologies in management, accounting and ERPs. This paper aims to examine the emerging literature on this field, and an immediate result is that blockchain applications can have significant benefits. The paper’s innovative contribution and considerable objective are to examine if blockchain can be successfully integrated with AIS and ERPs. We find that blockchain can facilitate integration at multiple levels and better serve various purposes as auditing compliance. To demonstrate that, we analyse e-procurement systems and operations using case study research methodology. The findings suggest that DLT, decentralised finance (DeFI), and financial technology (FinTech) applications can facilitate integrating AISs and ERP systems and yield significant benefits for efficiency, productivity and security.",BSP,https://www.semanticscholar.org/paper/a3bfe55411b66f0625744688162254907cbe77ef,True
Toward a New Era of Smart and Secure Healthcare Information Exchange Systems: Combining Blockchain and Artificial Intelligence,"Healthcare Information Exchange (HIE) is becoming a fundamental operation in current healthcare systems. In such systems, electronic health records (EHRs) are digitally stored inside each medical centers and, sometimes, are required to be shared between various healthcare facilities (HCFs). Indeed, sharing patient information is crucial and might be vulnerable to power outages, data misuse, privacy or security violations, and an audit trail. Hence, researchers have focused recently on cutting-edge technologies to develop secure HIE systems and ensure data privacy during transactions. Among such technologies, blockchain and artificial intelligence (AI) occupy a vital role in researchers’ focuses and efforts to detect risky transactions in HIE systems, thus enhancing their security and privacy. While the blockchain allows HCFs to link to each other without requiring a central authority, AI models offer an additional security layer when sharing patient data between HCFs. This paper presents a survey about HIE systems, and the aim is two-fold: we first present the architecture of HIE systems along with their challenges; then, we categorize and classify the current state-the-art-techniques that show the potential of using blockchain and AI technologies in such systems.",BSP,https://www.semanticscholar.org/paper/8e9dedc7aeaa5926db72fde5195c5256848fca2b,True
Challenges In Security And Privacy Posed By Blockchain Technology,"Blockchain technology presents a promising future for protecting personal data. However, it does pose challenges concerning data security and risk that need to be overcome. This research focuses on investigating these challenges posed by blockchain technology and providing feasible solutions that regulators can take into account when drafting regulations on personal data protection guidelines. The security and privacy-related challenges derived from its progressive maturity, complexity, lack of standardization, and diversity of protocols are superimposed on the demands of a vibrant, competitive environment. It is difficult to align it with the GDPR concerning privacy. There is an urgent need to develop multidisciplinary teams that must ensure its participation from the beginning of the legal/regulatory area, cybersecurity, and company information systems.",BSP,https://www.semanticscholar.org/paper/7201f2c7a55e1ccd51a8e1c9a499fc4b69b56176,True
Access Control and Privacy-Preserving Blockchain-Based System for Diseases Management,"In many developing countries, the healthcare sector is facing several challenges, mainly due to the lack of personal, institutions, and medications in public health systems. Over the past decade, information and communication technology has proved its ability to improve medical quality, reduce costs, and promote data security. Developing countries can exploit these technologies to improve the healthcare process and ensure remote health monitoring, especially in rural areas. The Internet of Things and smart medical devices are widely used to provide remote patient monitoring. Current systems are based on centralized communication with cloud servers. However, this architecture increases several security and privacy risks. The adoption of a distributed architecture is required to overcome these issues. In this article, we describe a Blockchain-based system for securing Internet-of-Things (IoT) healthcare devices. In addition to data encryption, we propose to use Blockchain technology to enhance security and privacy in healthcare systems. The system is intended to allow remote patient monitoring, particularly for chronic diseases that necessitate regular monitoring. Three important characteristics were taken into account: security, scalability, and processing time. The security concerns are ensured by using the re-encryption proxy in conjunction with Blockchain to encrypt data and control access to it. To ensure Blockchain scalability, data are stored in an InterPlanetary file system (IPFS) off-chain database. We use an Ethereum Blockchain based on proof of authority (PoA) to speed up the data storage. In comparison to existing methods, the experimental system has shown a significant improvement in the security of healthcare systems.",BSP,https://www.semanticscholar.org/paper/058b4dd5681429724bb4fd763bd7e4bfac98b292,True
Secure and Privacy-Preserving Energy Trading With Demand Response Assistance Based on Blockchain,"The large-scale integration of decentralized energy resources has resulted in surgical changes in energy trading systems. Traditional centralized trading systems suffer from high management costs and low efficiency. The recent advance in blockchain technology has enabled the invention of decentralized energy trading systems, which can overcome the limitations of centralized trading systems. However, security and privacy concerns have become obstacles when widely marketing and implementing decentralized energy trading systems. For example, the on-chain transactions are publicly visible, leading to the risk of trading information leakages. Moreover, in the demand response (DR) assistance process, the aggregated report of energy trading results may contain detailed trading information which results in user privacy leakage. To address those problems, this article proposes a blockchain-based privacy-aware energy trading mechanism. We design a stealthy on-chain transmission method to protect user privacy without revealing the consumer-supplier trading relationship and the exact trading data. Furthermore, we employ non-interactive zero-knowledge (NIZK) proof to aggregate reports in a reliable and privacy-preserving manner. Security analysis and experimental results demonstrate that the proposed mechanism can achieve security goals with affordable cost for decentralized energy trading systems.",BSP,https://www.semanticscholar.org/paper/9117a7ee6e532ca8435e135d77a4539a7474f8ec,True
